UZA,Modes,Month,Trips
"Albuquerque, NM",RB,4/1/2020 0:00,0
"Albuquerque, NM",RB,5/1/2020 0:00,0
"Albuquerque, NM",RB,6/1/2020 0:00,46117
"Albuquerque, NM",RB,7/1/2020 0:00,91841
"Albuquerque, NM",RB,8/1/2020 0:00,86998
"Albuquerque, NM",RB,9/1/2020 0:00,86064
"Allentown, PA-NJ",DR,1/1/2019 0:00,27957
"Allentown, PA-NJ",DR,2/1/2019 0:00,25107
"Allentown, PA-NJ",DR,3/1/2019 0:00,29819
"Allentown, PA-NJ",DR,4/1/2019 0:00,31668
"Allentown, PA-NJ",DR,5/1/2019 0:00,31789
"Allentown, PA-NJ",DR,6/1/2019 0:00,28418
"Allentown, PA-NJ",DR,7/1/2019 0:00,30168
"Allentown, PA-NJ",DR,8/1/2019 0:00,30062
"Allentown, PA-NJ",DR,9/1/2019 0:00,28197
"Allentown, PA-NJ",DR,10/1/2019 0:00,31847
"Allentown, PA-NJ",DR,11/1/2019 0:00,27074
"Allentown, PA-NJ",DR,12/1/2019 0:00,24927
"Allentown, PA-NJ",DR,1/1/2020 0:00,28474
"Allentown, PA-NJ",DR,2/1/2020 0:00,26686
"Allentown, PA-NJ",DR,3/1/2020 0:00,16632
"Allentown, PA-NJ",DR,4/1/2020 0:00,5739
"Allentown, PA-NJ",DR,5/1/2020 0:00,6688
"Allentown, PA-NJ",DR,6/1/2020 0:00,9067
"Allentown, PA-NJ",DR,7/1/2020 0:00,11262
"Allentown, PA-NJ",DR,8/1/2020 0:00,12046
"Allentown, PA-NJ",DR,9/1/2020 0:00,13291
"Allentown, PA-NJ",MB,1/1/2019 0:00,337865
"Allentown, PA-NJ",MB,2/1/2019 0:00,314502
"Allentown, PA-NJ",MB,3/1/2019 0:00,361191
"Allentown, PA-NJ",MB,4/1/2019 0:00,370460
"Allentown, PA-NJ",MB,5/1/2019 0:00,390775
"Allentown, PA-NJ",MB,6/1/2019 0:00,349476
"Allentown, PA-NJ",MB,7/1/2019 0:00,361886
"Allentown, PA-NJ",MB,8/1/2019 0:00,384052
"Allentown, PA-NJ",MB,9/1/2019 0:00,382441
"Allentown, PA-NJ",MB,10/1/2019 0:00,414755
"Allentown, PA-NJ",MB,11/1/2019 0:00,368138
"Allentown, PA-NJ",MB,12/1/2019 0:00,341036
"Allentown, PA-NJ",MB,1/1/2020 0:00,362814
